file_nm,element_id,amount,unit_ref,decimals,contextref
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,27,,0,CurrentYearInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,3451432000,,-3,Prior4YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,3665791000,,-3,Prior3YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp030000-asr_e05663-000:netsalesandoperatingrevenuesummaryofbusinessresults,1839664000,,-3,Prior2YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:operatingrevenue1summaryofbusinessresults,1029896000,,-3,Prior1YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:operatingrevenue1summaryofbusinessresults,1850064000,,-3,CurrentYearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,325250000,,-3,Prior4YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,413145000,,-3,Prior3YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,543604000,,-3,Prior2YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,68903000,,-3,Prior1YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,720604000,,-3,CurrentYearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,168518000,,-3,Prior4YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,247426000,,-3,Prior3YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,467860000,,-3,Prior2YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,69248000,,-3,Prior1YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,599689000,,-3,CurrentYearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,288400000,,-3,Prior4YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,288400000,,-3,Prior3YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,288400000,,-3,Prior2YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,288400000,,-3,Prior1YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,288400000,,-3,CurrentYearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,2347000,,0,Prior4YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,2347000,,0,Prior3YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,4694000,,0,Prior2YearInstant_NonConsolidatedMember
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,4694000,,0,Prior1YearInstant_NonConsolidatedMember
