,0,1,2,3,4,5,6,7,8,9,10
362,0201010010000010010,090,20020101,03000,1982CY00,3,3,1,0,322000,
363,0201010010000010010,090,20020101,04000,1982CY00,3,3,1,0,487000,
364,0201010010000010010,090,20020101,05000,1982CY00,3,3,1,0,261000,
365,0201010010000010010,090,20020101,06000,1982CY00,3,3,1,0,262000,
366,0201010010000010010,090,20020101,07000,1982CY00,3,3,1,0,471000,
367,0201010010000010010,090,20020101,08000,1982CY00,3,3,1,0,636000,
368,0201010010000010010,090,20020101,09000,1982CY00,3,3,1,0,438000,
369,0201010010000010010,090,20020101,10000,1982CY00,3,3,1,0,444000,
370,0201010010000010010,090,20020101,11000,1982CY00,3,3,1,0,1450000,
371,0201010010000010010,090,20020101,12000,1982CY00,3,3,1,0,1241000,
372,0201010010000010010,090,20020101,13000,1982CY00,3,3,1,0,2260000,
373,0201010010000010010,090,20020101,14000,1982CY00,3,3,1,0,1676000,
374,0201010010000010010,090,20020101,15000,1982CY00,3,3,1,0,546000,
375,0201010010000010010,090,20020101,16000,1982CY00,3,3,1,0,247000,
376,0201010010000010010,090,20020101,17000,1982CY00,3,3,1,0,265000,
377,0201010010000010010,090,20020101,18000,1982CY00,3,3,1,0,181000,
378,0201010010000010010,090,20020101,19000,1982CY00,3,3,1,0,180000,
379,0201010010000010010,090,20020101,20000,1982CY00,3,3,1,0,465000,
380,0201010010000010010,090,20020101,21000,1982CY00,3,3,1,0,470000,
381,0201010010000010010,090,20020101,22000,1982CY00,3,3,1,0,832000,
382,0201010010000010010,090,20020101,23000,1982CY00,3,3,1,0,1526000,
383,0201010010000010010,090,20020101,24000,1982CY00,3,3,1,0,389000,
